为 (U+4E3A) traditionalVariant: ['為', '爲']
縴 (U+7E34) simplifiedVariant: ['纤', '𰬮']
繡 (U+7E61) simplifiedVariant: ['绣', '𰬩']
纤 (U+7EA4) traditionalVariant: ['縴', '纖']
线 (U+7EBF) traditionalVariant: ['綫', '線']
绝 (U+7EDD) traditionalVariant: ['絕', '絶']
绣 (U+7EE3) traditionalVariant: ['綉', '繡']
绦 (U+7EE6) traditionalVariant: ['絛', '縧']
绱 (U+7EF1) traditionalVariant: ['緔', '鞝']
绷 (U+7EF7) traditionalVariant: ['綳', '繃']
绿 (U+7EFF) traditionalVariant: ['綠', '緑']
缊 (U+7F0A) traditionalVariant: ['緼', '縕']
缰 (U+7F30) traditionalVariant: ['繮', '韁']
胡 (U+80E1) traditionalVariant: ['衚', '鬍']
脏 (U+810F) traditionalVariant: ['臟', '髒']
苏 (U+82CF) traditionalVariant: ['囌', '蘇']
荡 (U+8361) traditionalVariant: ['盪', '蕩']
药 (U+836F) traditionalVariant: ['葯', '藥']
获 (U+83B7) traditionalVariant: ['獲', '穫']
莼 (U+83BC) traditionalVariant: ['蒓', '蓴']
蒙 (U+8499) traditionalVariant: ['懞', '濛', '矇']
蕴 (U+8574) traditionalVariant: ['藴', '蘊']
蘋 (U+860B) simplifiedVariant: ['苹', '𬞟']
蘭 (U+862D) simplifiedVariant: ['兰', '𬞕']
註 (U+8A3B) simplifiedVariant: ['注', '𬣣']
詠 (U+8A60) simplifiedVariant: ['咏', '𰵞']
誌 (U+8A8C) simplifiedVariant: ['志', '𰵧']
说 (U+8BF4) traditionalVariant: ['說', '説']
谣 (U+8C23) traditionalVariant: ['謠', '謡']
谫 (U+8C2B) traditionalVariant: ['謭', '譾']
買 (U+8CB7) simplifiedVariant: ['买', '𧹒']
賬 (U+8CEC) simplifiedVariant: ['账', '𧹔']
贓 (U+8D13) simplifiedVariant: ['赃', '𰷭']
赃 (U+8D43) traditionalVariant: ['贓', '贜']
赍 (U+8D4D) traditionalVariant: ['賫', '齎']
赝 (U+8D5D) traditionalVariant: ['贋', '贗']
蹤 (U+8E64) simplifiedVariant: ['踪', '𧿛']
輓 (U+8F13) simplifiedVariant: ['挽', '𬨈']
辒 (U+8F92) traditionalVariant: ['輼', '轀']
酝 (U+915D) traditionalVariant: ['醖', '醞']
采 (U+91C7) traditionalVariant: ['埰', '採']
里 (U+91CC) traditionalVariant: ['裏', '裡']
鉤 (U+9264) simplifiedVariant: ['钩', '𰽭']
錶 (U+9336) simplifiedVariant: ['表', '𰾍']
鍾 (U+937E) simplifiedVariant: ['钟', '锺']
鑽 (U+947D) simplifiedVariant: ['钻', '𰿆']
钟 (U+949F) traditionalVariant: ['鍾', '鐘']
钩 (U+94A9) traditionalVariant: ['鈎', '鉤']
钵 (U+94B5) traditionalVariant: ['缽', '鉢']
锈 (U+9508) traditionalVariant: ['銹', '鏽']
锐 (U+9510) traditionalVariant: ['銳', '鋭']
镌 (U+954C) traditionalVariant: ['鎸', '鐫']
開 (U+958B) simplifiedVariant: ['开', '𫔭']
閤 (U+95A4) simplifiedVariant: ['合', '𬮤']
闆 (U+95C6) simplifiedVariant: ['板', '𬮳']
闢 (U+95E2) simplifiedVariant: ['辟', '𰿾']
闲 (U+95F2) traditionalVariant: ['閑', '閒']
阅 (U+9605) traditionalVariant: ['閱', '閲']
韆 (U+97C6) simplifiedVariant: ['千', '𱁶']
韻 (U+97FB) simplifiedVariant: ['韵', '𱂐']
願 (U+9858) simplifiedVariant: ['愿', '𫖸']
须 (U+987B) traditionalVariant: ['須', '鬚']
颓 (U+9893) traditionalVariant: ['頹', '頽']
颜 (U+989C) traditionalVariant: ['顏', '顔']
颱 (U+98B1) simplifiedVariant: ['台', '𱃗']
餘 (U+9918) simplifiedVariant: ['余', '馀']
餚 (U+991A) simplifiedVariant: ['肴', '𬳁']
饥 (U+9965) traditionalVariant: ['飢', '饑']
骂 (U+9A82) traditionalVariant: ['罵', '駡']
鱄 (U+9C44) simplifiedVariant: ['𫚋', '𱈐']
鱷 (U+9C77) simplifiedVariant: ['鳄', '𱈚']
鲞 (U+9C9E) traditionalVariant: ['鮝', '鯗']
鳄 (U+9CC4) traditionalVariant: ['鰐', '鱷']
鸡 (U+9E21) traditionalVariant: ['雞', '鷄']
麯 (U+9EAF) simplifiedVariant: ['曲', '𱋐']
